branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id
alpha,alpha039423,2024-03-18 18:14:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,credit card,F,True,1627.0
beta,beta053963,2024-03-19 07:43:00,bakery,Croissant,,85,46.75000000000001,4,340,152.99999999999997,0.4499999999999999,to go,mobile,F,False,
alpha,alpha039627,2024-03-20 18:11:00,coffee,Mocha Cold Brew,0.25,165,79.2,1,165,85.8,0.52,to go,mobile,M,True,949.0
beta,beta054336,2024-03-20 18:33:00,tea,Green Tea,0.25,65,24.7,1,65,40.3,0.62,delivery,mobile,F,True,172.0
beta,beta054566,2024-03-22 09:45:00,coffee,Mocha Cold Brew,0.0,165,79.2,3,495,257.4,0.52,to go,mobile,F,True,899.0
alpha,alpha039904,2024-03-23 19:41:00,coffee,Nitro Flat White,0.25,155,74.39999999999999,1,155,80.60000000000001,0.52,to go,cash,F,False,
beta,beta054827,2024-03-23 21:47:00,tea,Black Tea,0.75,40,8.0,1,40,32.0,0.8,eat in,credit card,M,True,1028.0
beta,beta054854,2024-03-24 12:54:00,tea,Yuzu Tea,1.0,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,1648.0
beta,beta054912,2024-03-25 08:37:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,to go,mobile,F,False,
alpha,alpha040230,2024-03-27 14:04:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,M,False,
alpha,alpha040307,2024-03-28 10:43:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,eat in,cash,F,False,
beta,beta055527,2024-03-28 15:02:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,credit card,M,True,1032.0
alpha,alpha040418,2024-03-29 10:37:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,credit card,F,False,
alpha,alpha040588,2024-04-01 10:19:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,credit card,M,False,
alpha,alpha040690,2024-04-02 08:35:00,smoothie,Watermelon Smoothie,0.5,75,30.0,2,150,90.0,0.6,eat in,mobile,M,True,185.0
beta,beta056153,2024-04-02 11:27:00,smoothie,Strawberry Smoothie,0.25,85,25.5,1,85,59.5,0.7,to go,mobile,M,True,1651.0
beta,beta056158,2024-04-02 12:00:00,tea,Jasmine Tea,0.5,50,10.0,3,150,120.0,0.8,to go,mobile,F,True,1679.0
alpha,alpha041003,2024-04-05 09:00:00,coffee,Mocha Cold Brew,0.0,165,79.2,3,495,257.4,0.52,to go,credit card,F,True,969.0
beta,beta056675,2024-04-05 12:54:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,mobile,F,True,951.0
beta,beta056686,2024-04-05 13:38:00,smoothie,Watermelon Smoothie,0.25,75,30.0,3,225,135.0,0.6,to go,mobile,F,True,1010.0
alpha,alpha041072,2024-04-05 15:46:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,to go,credit card,M,True,1744.0
alpha,alpha041104,2024-04-06 08:25:00,coffee,Espresso,0.25,55,20.35,1,55,34.65,0.63,to go,mobile,M,False,
alpha,alpha041106,2024-04-06 09:22:00,coffee,Iced Americano,0.5,45,13.5,2,90,63.0,0.7,delivery,credit card,F,True,1082.0
alpha,alpha041177,2024-04-08 13:40:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,mobile,F,False,
beta,beta056929,2024-04-09 09:31:00,tea,Green Tea,0.75,65,24.7,1,65,40.3,0.62,to go,mobile,F,False,
alpha,alpha041226,2024-04-09 10:21:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,eat in,mobile,F,False,
beta,beta056983,2024-04-09 13:38:00,tea,Thai Tea,0.5,70,17.5,3,210,157.5,0.75,delivery,mobile,F,True,909.0
alpha,alpha041262,2024-04-09 15:24:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,175.0
beta,beta057030,2024-04-09 16:49:00,bakery,Muffin,,60,27.0,4,240,132.0,0.55,to go,mobile,F,True,1074.0
beta,beta057091,2024-04-10 09:26:00,smoothie,Kiwi Smoothie,0.5,90,40.5,1,90,49.5,0.55,to go,mobile,F,True,127.0
alpha,alpha041380,2024-04-10 15:50:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,F,False,
alpha,alpha041480,2024-04-11 15:28:00,smoothie,Watermelon Smoothie,0.25,75,30.0,1,75,45.0,0.6,delivery,mobile,M,True,168.0
alpha,alpha041488,2024-04-11 16:40:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,to go,mobile,F,False,
alpha,alpha041545,2024-04-12 12:34:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,credit card,M,True,1052.0
alpha,alpha041608,2024-04-14 14:30:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,delivery,mobile,M,True,868.0
alpha,alpha041644,2024-04-15 13:32:00,coffee,Mocha,0.25,70,30.1,1,70,39.900000000000006,0.5700000000000001,to go,credit card,M,True,1023.0
alpha,alpha041675,2024-04-15 16:37:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,mobile,F,False,
alpha,alpha041720,2024-04-16 13:44:00,coffee,Mocha,1.0,70,30.1,3,210,119.70000000000002,0.5700000000000001,to go,credit card,M,False,
beta,beta057562,2024-04-17 08:00:00,tea,Bubble Tea,0.5,70,17.5,3,210,157.5,0.75,delivery,mobile,M,True,869.0
beta,beta057843,2024-04-18 18:18:00,tea,Green Tea,0.75,65,24.7,1,65,40.3,0.62,eat in,mobile,F,True,1060.0
beta,beta058293,2024-04-22 14:45:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,eat in,mobile,F,True,136.0
alpha,alpha042211,2024-04-22 17:24:00,coffee,Cappuccino,0.0,75,27.75,1,75,47.25,0.63,delivery,mobile,F,False,
beta,beta058384,2024-04-23 08:14:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,delivery,mobile,F,True,
beta,beta058604,2024-04-24 12:41:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,M,True,1807.0
alpha,alpha042413,2024-04-24 15:11:00,coffee,Cappuccino,0.5,75,27.75,3,225,141.75,0.63,to go,cash,F,False,
beta,beta058679,2024-04-24 18:35:00,tea,Bubble Tea,0.5,70,17.5,2,140,105.0,0.75,to go,mobile,M,True,278.0
beta,beta058772,2024-04-25 12:52:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,eat in,mobile,M,False,
beta,beta058866,2024-04-25 21:27:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,mobile,F,True,1072.0
beta,beta058883,2024-04-26 08:19:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,mobile,F,True,247.0
beta,beta059039,2024-04-26 18:32:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,F,True,
beta,beta059158,2024-04-28 09:14:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,to go,mobile,M,True,934.0
beta,beta059238,2024-04-29 08:53:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,to go,mobile,M,True,
beta,beta059379,2024-04-29 17:53:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,1742.0
alpha,alpha042832,2024-04-29 17:55:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,credit card,F,True,129.0
alpha,alpha042905,2024-04-30 14:13:00,coffee,Americano,0.75,45,14.4,1,45,30.6,0.68,to go,mobile,F,False,
alpha,alpha043065,2024-05-02 15:02:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,credit card,M,True,1727.0
alpha,alpha043073,2024-05-02 15:30:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,credit card,M,True,39.0
beta,beta059692,2024-05-02 17:48:00,tea,Jasmine Tea,1.0,50,10.0,1,50,40.0,0.8,to go,mobile,F,True,1960.0
beta,beta059863,2024-05-03 19:24:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,M,True,1179.0
alpha,alpha043323,2024-05-06 14:11:00,smoothie,Strawberry Smoothie,0.25,85,25.5,1,85,59.5,0.7,delivery,mobile,F,False,
beta,beta059997,2024-05-07 12:27:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,to go,mobile,F,True,317.0
beta,beta060014,2024-05-07 13:33:00,coffee,Espresso,1.0,55,20.35,1,55,34.65,0.63,to go,credit card,M,True,1111.0
alpha,alpha043478,2024-05-07 20:58:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,credit card,F,False,
alpha,alpha043480,2024-05-07 21:21:00,coffee,Espresso,1.0,55,20.35,1,55,34.65,0.63,eat in,credit card,M,False,
alpha,alpha043662,2024-05-09 17:11:00,tea,Bubble Tea,0.0,70,17.5,1,70,52.5,0.75,delivery,credit card,M,False,
alpha,alpha043683,2024-05-09 19:02:00,bakery,Croissant,,85,46.75000000000001,3,255,114.74999999999996,0.4499999999999999,delivery,credit card,F,False,
beta,beta060356,2024-05-10 12:32:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,M,True,
beta,beta060408,2024-05-10 16:53:00,tea,Thai Tea,0.25,70,17.5,2,140,105.0,0.75,delivery,mobile,F,True,
beta,beta060687,2024-05-13 18:40:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,credit card,F,True,1722.0
alpha,alpha044101,2024-05-15 10:32:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,258.0
beta,beta060934,2024-05-15 16:57:00,tea,Green Tea,0.25,65,24.7,2,130,80.6,0.62,to go,credit card,M,True,53.0
alpha,alpha044198,2024-05-16 11:00:00,smoothie,Strawberry Smoothie,0.25,85,25.5,3,255,178.5,0.7,delivery,mobile,M,True,1126.0
alpha,alpha044221,2024-05-16 15:04:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,credit card,F,False,
alpha,alpha044293,2024-05-17 10:11:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,eat in,credit card,F,False,
alpha,alpha044310,2024-05-17 12:46:00,tea,Jasmine Tea,0.5,50,10.0,1,50,40.0,0.8,eat in,mobile,F,False,
beta,beta061146,2024-05-17 13:13:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,eat in,mobile,F,True,1729.0
beta,beta061259,2024-05-18 12:02:00,tea,Yuzu Tea,0.0,70,24.5,3,210,136.5,0.65,eat in,mobile,F,True,1081.0
alpha,alpha044502,2024-05-20 12:23:00,smoothie,Watermelon Smoothie,0.5,75,30.0,3,225,135.0,0.6,to go,mobile,F,True,1128.0
alpha,alpha044521,2024-05-20 15:28:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,gift card,M,True,174.0
beta,beta061577,2024-05-21 12:30:00,tea,Black Tea,0.5,40,8.0,2,80,64.0,0.8,delivery,credit card,M,True,270.0
beta,beta061580,2024-05-21 12:36:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,1045.0
beta,beta061626,2024-05-21 17:38:00,tea,Black Tea,0.5,40,8.0,2,80,64.0,0.8,to go,mobile,F,True,253.0
beta,beta061654,2024-05-22 12:40:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,mobile,F,True,1927.0
alpha,alpha044736,2024-05-23 08:21:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,to go,mobile,M,False,
beta,beta061738,2024-05-23 15:35:00,coffee,Latte,1.0,65,27.95,2,130,74.1,0.57,to go,mobile,M,False,
beta,beta061801,2024-05-24 10:02:00,coffee,Latte,0.25,65,27.95,3,195,111.15,0.57,to go,credit card,M,True,
alpha,alpha044863,2024-05-24 10:54:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,credit card,F,False,
beta,beta061938,2024-05-25 16:12:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,eat in,mobile,F,True,258.0
beta,beta061968,2024-05-26 09:48:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,eat in,mobile,F,True,1843.0
alpha,alpha045026,2024-05-27 10:32:00,coffee,Latte,0.5,65,27.95,1,65,37.05,0.57,to go,cash,F,True,988.0
alpha,alpha045085,2024-05-27 16:11:00,bakery,Cookie,,85,29.75,2,170,110.5,0.65,delivery,mobile,F,True,1065.0
beta,beta062119,2024-05-27 16:19:00,tea,Jasmine Tea,0.75,50,10.0,1,50,40.0,0.8,eat in,mobile,F,True,1660.0
alpha,alpha045283,2024-05-29 08:49:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,to go,mobile,M,False,
beta,beta062477,2024-05-30 15:09:00,smoothie,Mango Smoothie,0.75,90,31.5,1,90,58.5,0.65,to go,mobile,F,True,1169.0
beta,beta062582,2024-05-31 12:34:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,F,True,1772.0
alpha,alpha045572,2024-05-31 17:03:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,delivery,cash,F,True,1089.0
beta,beta062723,2024-06-02 09:32:00,tea,Thai Tea,0.5,70,17.5,3,210,157.5,0.75,to go,mobile,F,True,853.0
alpha,alpha045669,2024-06-03 11:46:00,tea,Green Tea,0.5,65,24.7,1,65,40.3,0.62,to go,credit card,M,False,
alpha,alpha045727,2024-06-04 08:36:00,coffee,Iced Latte,0.5,65,22.75,3,195,126.75,0.65,to go,credit card,F,False,
alpha,alpha045843,2024-06-05 08:46:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,to go,credit card,F,False,
alpha,alpha045847,2024-06-05 09:39:00,tea,Green Tea,0.25,65,24.7,1,65,40.3,0.62,to go,mobile,M,True,105.0
beta,beta062875,2024-06-05 12:02:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,mobile,M,True,1016.0
beta,beta062893,2024-06-05 15:32:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,eat in,mobile,F,True,1915.0
alpha,alpha045896,2024-06-05 16:15:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,eat in,gift card,F,True,2015.0
beta,beta062926,2024-06-06 09:41:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,credit card,F,True,1782.0
alpha,alpha045979,2024-06-06 13:41:00,smoothie,Watermelon Smoothie,0.5,75,30.0,3,225,135.0,0.6,to go,credit card,M,False,
beta,beta062969,2024-06-06 16:20:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,F,True,1641.0
beta,beta062978,2024-06-06 18:17:00,tea,Green Tea,0.0,65,24.7,2,130,80.6,0.62,eat in,gift card,M,True,1744.0
beta,beta063002,2024-06-07 10:07:00,smoothie,Strawberry Smoothie,0.0,85,25.5,1,85,59.5,0.7,to go,credit card,F,True,968.0
beta,beta063124,2024-06-09 14:34:00,coffee,Espresso,0.25,55,20.35,1,55,34.65,0.63,to go,mobile,M,True,1860.0
alpha,alpha046351,2024-06-11 09:44:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,cash,F,False,
beta,beta063255,2024-06-11 13:04:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,mobile,F,True,880.0
alpha,alpha046422,2024-06-11 16:04:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,F,False,
alpha,alpha046558,2024-06-13 08:38:00,coffee,Iced Latte,0.0,65,22.75,2,130,84.5,0.65,to go,credit card,F,False,
beta,beta063413,2024-06-13 13:38:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,
alpha,alpha046749,2024-06-14 17:24:00,coffee,Iced Americano,0.5,45,13.5,2,90,63.0,0.7,to go,credit card,F,True,285.0
beta,beta063512,2024-06-14 17:52:00,smoothie,Mango Smoothie,0.0,90,31.5,1,90,58.5,0.65,eat in,mobile,F,True,223.0
beta,beta063649,2024-06-17 11:34:00,tea,Green Tea,0.0,65,24.7,1,65,40.3,0.62,delivery,mobile,F,False,
beta,beta063731,2024-06-18 09:45:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,gift card,F,True,1948.0
beta,beta063778,2024-06-18 16:27:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,M,True,
alpha,alpha047139,2024-06-19 18:16:00,smoothie,Kiwi Smoothie,0.75,90,40.5,3,270,148.5,0.55,delivery,mobile,M,True,55.0
beta,beta063863,2024-06-20 07:58:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,eat in,credit card,F,True,
alpha,alpha047339,2024-06-21 16:05:00,coffee,Iced Americano,0.75,45,13.5,1,45,31.5,0.7,to go,credit card,F,True,400.0
alpha,alpha047347,2024-06-21 16:40:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,delivery,credit card,M,False,
alpha,alpha047390,2024-06-22 10:47:00,tea,Jasmine Tea,1.0,50,10.0,2,100,80.0,0.8,delivery,mobile,M,True,1728.0
beta,beta064075,2024-06-23 09:55:00,coffee,Espresso,0.0,55,20.35,1,55,34.65,0.63,to go,mobile,M,True,392.0
alpha,alpha047454,2024-06-24 10:22:00,smoothie,Kiwi Smoothie,0.0,90,40.5,2,180,99.0,0.55,eat in,credit card,M,False,
alpha,alpha047498,2024-06-24 14:26:00,coffee,Espresso,0.25,55,20.35,1,55,34.65,0.63,to go,mobile,M,False,
alpha,alpha047554,2024-06-24 19:53:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,cash,M,False,
alpha,alpha047693,2024-06-25 20:43:00,smoothie,Kiwi Smoothie,0.25,90,40.5,1,90,49.5,0.55,delivery,cash,F,False,
beta,beta064314,2024-06-26 10:36:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,eat in,mobile,F,True,1186.0
alpha,alpha047867,2024-06-27 16:07:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,mobile,F,False,
beta,beta064457,2024-06-28 09:50:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,mobile,F,True,1801.0
alpha,alpha047938,2024-06-28 10:43:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,credit card,F,False,
beta,beta064579,2024-06-29 16:19:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,credit card,F,True,295.0
beta,beta064608,2024-06-30 12:05:00,tea,Yuzu Tea,0.0,70,24.5,1,70,45.5,0.65,delivery,mobile,F,True,1203.0
beta,beta064675,2024-07-01 15:17:00,smoothie,Watermelon Smoothie,0.5,75,30.0,1,75,45.0,0.6,delivery,mobile,M,True,2096.0
alpha,alpha048208,2024-07-01 19:12:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,mobile,F,False,
beta,beta064873,2024-07-04 09:05:00,bakery,Muffin,,60,27.0,2,120,66.0,0.55,eat in,mobile,M,True,1133.0
alpha,alpha048556,2024-07-05 09:33:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,to go,mobile,F,False,
alpha,alpha048629,2024-07-05 16:38:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,to go,mobile,M,True,1132.0
alpha,alpha048636,2024-07-05 17:11:00,coffee,Americano,0.25,45,14.4,1,45,30.6,0.68,delivery,mobile,M,False,
beta,beta065064,2024-07-06 12:01:00,smoothie,Kiwi Smoothie,1.0,90,40.5,1,90,49.5,0.55,eat in,credit card,F,True,1966.0
alpha,alpha048754,2024-07-08 10:12:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,credit card,M,False,
beta,beta065155,2024-07-08 10:32:00,tea,Thai Tea,0.5,70,17.5,1,70,52.5,0.75,delivery,mobile,F,False,
alpha,alpha048778,2024-07-08 13:28:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,2121.0
alpha,alpha048807,2024-07-08 15:42:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,delivery,credit card,F,True,295.0
alpha,alpha048807,2024-07-08 15:42:00,coffee,Americano,0.5,45,14.4,1,45,30.6,0.68,delivery,credit card,F,True,295.0
beta,beta065200,2024-07-08 17:52:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,delivery,gift card,F,True,1129.0
beta,beta065304,2024-07-09 19:22:00,coffee,Espresso,1.0,55,20.35,2,110,69.3,0.63,to go,mobile,F,True,94.0
beta,beta065326,2024-07-10 10:17:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
beta,beta065343,2024-07-10 12:44:00,coffee,Mocha,0.5,70,30.1,1,70,39.900000000000006,0.5700000000000001,eat in,mobile,M,True,1892.0
beta,beta065349,2024-07-10 13:38:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,credit card,F,True,391.0
alpha,alpha049101,2024-07-11 11:40:00,tea,Green Tea,0.25,65,24.7,1,65,40.3,0.62,eat in,credit card,M,False,
beta,beta065420,2024-07-11 15:33:00,tea,Yuzu Tea,0.75,70,24.5,1,70,45.5,0.65,to go,credit card,F,False,
alpha,alpha049156,2024-07-11 17:43:00,coffee,Mocha,0.5,70,30.1,1,70,39.900000000000006,0.5700000000000001,eat in,credit card,M,True,900.0
beta,beta065562,2024-07-13 08:10:00,coffee,Latte,0.5,65,27.95,2,130,74.1,0.57,to go,mobile,M,True,
alpha,alpha049322,2024-07-14 13:54:00,tea,Bubble Tea,0.75,70,17.5,2,140,105.0,0.75,to go,credit card,M,True,1985.0
beta,beta065689,2024-07-15 11:12:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,327.0
beta,beta065705,2024-07-15 12:42:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,M,True,
beta,beta065725,2024-07-15 15:15:00,coffee,Mocha,0.25,70,30.1,1,70,39.900000000000006,0.5700000000000001,delivery,mobile,F,True,335.0
alpha,alpha049455,2024-07-15 17:55:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,mobile,F,False,
alpha,alpha049459,2024-07-15 18:16:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,eat in,credit card,M,True,
alpha,alpha049459,2024-07-15 18:16:00,tea,Thai Tea,0.25,70,17.5,3,210,157.5,0.75,eat in,credit card,M,True,
alpha,alpha049521,2024-07-16 10:22:00,bakery,Sandwich,,80,28.0,3,240,156.0,0.65,delivery,credit card,M,False,
beta,beta065923,2024-07-18 07:21:00,coffee,Nitro Flat White,0.75,155,74.39999999999999,1,155,80.60000000000001,0.52,eat in,mobile,F,True,1798.0
alpha,alpha049746,2024-07-18 13:13:00,coffee,Nitro Flat White,0.25,155,74.39999999999999,2,310,161.20000000000002,0.52,to go,credit card,F,True,1762.0
beta,beta065958,2024-07-18 13:51:00,smoothie,Kiwi Smoothie,0.75,90,40.5,1,90,49.5,0.55,eat in,mobile,M,False,
alpha,alpha049764,2024-07-18 15:57:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,credit card,F,False,
alpha,alpha049967,2024-07-22 10:09:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,to go,credit card,M,False,
alpha,alpha050146,2024-07-23 18:52:00,coffee,Latte,0.25,65,27.95,1,65,37.05,0.57,eat in,cash,F,False,
beta,beta066265,2024-07-24 12:09:00,coffee,Espresso,0.75,55,20.35,1,55,34.65,0.63,to go,cash,M,False,
alpha,alpha050231,2024-07-24 17:28:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,to go,credit card,F,True,1128.0
beta,beta066478,2024-07-26 18:55:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,1727.0
beta,beta066478,2024-07-26 18:55:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,M,True,1727.0
alpha,alpha050536,2024-07-29 14:50:00,coffee,Cappuccino,0.25,75,27.75,1,75,47.25,0.63,to go,mobile,F,False,
beta,beta066574,2024-07-30 09:35:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,delivery,mobile,M,True,120.0
beta,beta066601,2024-07-30 12:37:00,tea,Thai Tea,0.25,70,17.5,3,210,157.5,0.75,delivery,gift card,F,True,1755.0
alpha,alpha050761,2024-07-31 15:11:00,tea,Bubble Tea,0.5,70,17.5,3,210,157.5,0.75,eat in,mobile,M,False,
beta,beta066831,2024-08-01 12:31:00,tea,Jasmine Tea,0.25,50,10.0,1,50,40.0,0.8,to go,mobile,M,True,
alpha,alpha050897,2024-08-01 19:42:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,eat in,credit card,M,False,
beta,beta067073,2024-08-02 15:07:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,mobile,F,True,451.0
alpha,alpha051006,2024-08-02 17:50:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,delivery,cash,F,False,
alpha,alpha051147,2024-08-05 11:35:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,M,True,
beta,beta067541,2024-08-05 19:11:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,delivery,mobile,F,True,
alpha,alpha051303,2024-08-06 14:21:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,eat in,credit card,F,True,1261.0
alpha,alpha051346,2024-08-06 18:04:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,to go,mobile,F,False,
alpha,alpha051367,2024-08-06 21:47:00,coffee,Mocha,0.0,70,30.1,1,70,39.900000000000006,0.5700000000000001,eat in,mobile,M,True,1281.0
alpha,alpha051425,2024-08-07 15:27:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,eat in,mobile,F,False,
alpha,alpha051599,2024-08-09 08:31:00,tea,Bubble Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,credit card,M,False,
beta,beta068203,2024-08-09 12:21:00,coffee,Mocha Cold Brew,0.25,165,79.2,1,165,85.8,0.52,eat in,cash,M,True,322.0
alpha,alpha051722,2024-08-09 18:50:00,coffee,Cappuccino,0.5,75,27.75,1,75,47.25,0.63,to go,cash,M,False,
alpha,alpha051738,2024-08-10 07:09:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,delivery,mobile,F,False,
alpha,alpha051750,2024-08-10 12:46:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,credit card,M,True,310.0
beta,beta068546,2024-08-12 13:43:00,coffee,Iced Latte,0.25,65,22.75,1,65,42.25,0.65,eat in,mobile,M,False,
beta,beta068552,2024-08-12 15:05:00,coffee,Espresso,0.5,55,20.35,3,165,103.95,0.63,delivery,mobile,F,True,1690.0
alpha,alpha051862,2024-08-12 17:04:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,F,True,
beta,beta068635,2024-08-13 12:11:00,coffee,Espresso,0.25,55,20.35,1,55,34.65,0.63,to go,mobile,M,False,
beta,beta068661,2024-08-13 13:46:00,coffee,Iced Latte,0.0,65,22.75,1,65,42.25,0.65,to go,mobile,F,False,
beta,beta068661,2024-08-13 13:46:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,F,False,
beta,beta068675,2024-08-13 14:57:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,F,False,
beta,beta068942,2024-08-15 09:04:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,eat in,mobile,M,True,2163.0
